#SampleID	Type	Class1	Class2	Class3	ClassOther
'000003079.1130565'	6month	1	0	0	0
'000002567.1130387'	6month	1	0	0	0
'000001533.1210756'	6month	1	0	0	0
'000004806.1210783'	6month	0	0	0	0
'000004018.1210584'	6month	1	0	0	0
'000006111.1210671'	6month	0	2	0	0
'000010259.1210691'	6month	0	1	0	1
'000006776.1210725'	6month	0	2	0	0
'000009160.1210658'	6month	0	2	0	0
'000010734.1210856'	6month	0	1	0	1
'000010947.1210532'	6month	0	1	0	1
'000006767.1210870'	6month	0	2	0	0
'000010724.1210828'	6month	0	1	0	1
'000010169.1210649'	6month	0	0	0	1
'000010125.1210861'	6month	0	0	0	1
'000010147.1210958'	6month	0	0	0	1
'000006932.1210629'	6month	0	2	0	0
'000010816.1210936'	6month	0	1	0	1
'000009703.1210840'	6month	0	0	0	1
'000011273.1210643'	6month	0	0	1	0
'000011362.1210912'	6month	0	0	1	0
'000010919.1210882'	6month	0	1	0	1
'000010098.1210796'	6month	0	0	0	1
'000010230.1210715'	6month	1	0	1	0
'000010244.1210702'	6month	0	1	0	1
'000010993.1210918'	6month	0	0	1	0
'000011363.1210684'	6month	0	0	1	0
'000012388.1210761'	6month	1	0	0	0
'000012154.1210908'	6month	0	0	1	0
'000012911.1210628'	6month	1	0	0	0
'000003594.1210959'	6month	1	0	0	0
'000012152.1210963'	6month	0	0	1	0
'000012011.1210850'	6month	0	0	1	0
'000011394.1210926'	6month	0	0	1	0
'000012038.1210854'	6month	0	0	1	0
'000012990.1210774'	6month	1	0	0	0
'000010134.1210887'	6month	0	0	0	1
'000011395.1210826'	6month	0	0	1	0
'000010957.1210641'	6month	0	1	0	1
'000004244.1210573'	6month	1	0	0	0
'000011312.1210778'	6month	0	0	1	0
'000012337.1210847'	6month	1	0	0	0
'000006048.1210565'	6month	0	0	0	0
'000010875.1213067'	6month	0	1	0	1
'000001282.1212979'	6month	1	0	0	0
'000007158.1212986'	6month	0	2	0	0
'000006062.1212962'	6month	0	2	0	0
'000009686.1213141'	6month	0	2	0	0
'000003649.1213144'	6month	1	0	0	0
'000003495.1212958'	6month	1	0	0	0
'000007157.1213017'	6month	0	2	0	0
'000010298.1213043'	6month	0	1	0	1
'000001249.1213076'	6month	1	0	0	0
'000009373.1213096'	6month	0	2	0	0
'000010908.1213091'	6month	0	1	0	1
'000001626.1212997'	6month	1	0	0	0
'000009541.1212994'	6month	0	2	0	0
'000006004.1213093'	6month	0	0	0	0
'000004283.1213125'	6month	1	0	0	0
'000009710.1213079'	6month	0	0	0	1
'000010776.1213099'	6month	0	1	0	1
'000009533.1212983'	6month	0	2	0	0
'000007651.1213004'	6month	0	2	0	0
'000006643.1213112'	6month	0	2	0	0
'000010227.1213108'	6month	0	0	0	1
'000004266.1130950'	month	1	0	0	0
'000002632.1130710'	month	1	0	0	0
'000001225.1130941'	month	1	0	0	0
'000001192.1130575'	month	1	0	0	0
'000001301.1130843'	month	1	0	0	0
'000001291.1130663'	month	1	0	0	0
'000001386.1130636'	month	1	0	0	0
'000002865.1130629'	month	1	0	0	0
'000001874.1130679'	month	0	0	0	1
'000003093.1130655'	month	1	0	0	0
'000001632.1130735'	month	1	0	0	0
'000005903.1076379'	month	0	0	0	0
'000005841.1076304'	month	0	0	0	0
'000005648.1076376'	month	0	0	0	0
'000002177.1076288'	month	1	0	0	0
'000001520.1076266'	month	1	0	0	0
'000004881.1076347'	month	0	0	0	0
'000002783.1076422'	month	1	0	0	0
'000002414.1076151'	month	1	0	0	0
'000002160.1053942'	month	0	0	0	1
'000005807.1053929'	month	0	0	0	0
'000001376.1131725'	month	1	0	0	0
'000005989.1131512'	month	0	0	0	0
'000006001.1131648'	month	0	0	0	0
'000009149.1131519'	month	0	2	0	0
'000006714.1131841'	month	0	2	0	0
'000004721.1131620'	month	0	1	0	0
'000004790.1131967'	month	0	0	0	0
'000003716.1131747'	month	1	0	0	0
'000007174.1131559'	month	0	2	0	0
'000009530.1131866'	month	0	2	0	0
'000006634.1131683'	month	0	2	0	0
'000006620.1131917'	month	0	2	0	0
'000003715.1131946'	month	1	0	0	0
'000007666.1131714'	month	0	2	0	0
'000009457.1130091'	month	0	2	0	0
'000007181.1130359'	month	0	2	0	0
'000009444.1130484'	month	0	2	0	0
'000009142.1130432'	month	0	2	0	0
'000006092.1130253'	month	0	2	0	0
'000007176.1130219'	month	0	2	0	0
'000007180.1130518'	month	0	2	0	0
'000002160.1130381'	month	0	0	0	1
'000006631.1130511'	month	0	2	0	0
'000010852.1210907'	month	0	1	0	1
'000005960.1210741'	month	0	0	0	0
'000010161.1210557'	month	0	0	0	1
'000010874.1210701'	month	0	1	0	1
'000012211.1210753'	month	0	0	1	0
'000012266.1210679'	month	1	0	0	0
'000011935.1210721'	month	0	0	1	0
'000013130.1210668'	month	1	0	0	0
'000012996.1210858'	month	1	0	0	0
'000001327.1213030'	month	1	0	0	0
'000004192.1213137'	month	1	0	0	0
'000009366.1213037'	month	0	2	0	0
'000009613.1213018'	month	0	2	0	0
'000010303.1213054'	month	0	1	0	1
'000001585.1212947'	month	1	0	0	0
'000003364.1130920'	multipleyear	1	0	0	0
'000003951.1130573'	multipleyear	1	0	0	0
'000004207.1130952'	multipleyear	1	0	0	0
'000002606.1130638'	multipleyear	1	0	0	0
