"id","deleted","project_id","mgrast_metagenome_id","name","bp_count","sequence_count","assigned_read_count","abundances_inputted","cazy_generated"
2294,0,14,4542214.3,"ITS3.DIET8",2785890,18874,4468,1,0
2295,0,14,4541978.3,"DIET9",27359688,135444,132217,1,0
2296,0,14,4542215.3,"ITS3.ID100",17277587,120519,107873,1,0
2297,0,14,4542216.3,"ITS3.ID103",2383661,16342,7312,1,0
2298,0,14,4542217.3,"ITS3.ID104",1938734,13231,7865,1,0
2299,0,14,4542218.3,"ITS3.ID106",1160400,8111,3046,1,0
2300,0,14,4542219.3,"ITS3.ID109",2289733,15763,10900,1,0
2301,0,14,4542220.3,"ITS3.ID110",2135986,14932,12188,1,0
2302,0,14,4542221.3,"ITS3.ID112",6984146,48874,42604,1,0
2303,0,14,4542222.3,"ITS3.ID113",2976384,20435,9315,1,0
2304,0,14,4542223.3,"ITS3.ID115",1503444,10574,4844,1,0
2305,0,14,4542224.3,"ITS3.ID117",12323804,86197,77180,1,0
2306,0,14,4542225.3,"ITS3.ID119",171043,1154,130,1,0
2307,0,14,4542226.3,"ITS3.ID124",183574,1284,955,1,0
2308,0,14,4542227.3,"ITS3.ID125",11028633,76825,68496,1,0
2309,0,14,4542228.3,"ITS3.ID126",641985,4332,3987,1,0
2310,0,14,4542229.3,"ITS3.ID127",1153679,7961,4023,1,0
2311,0,14,4542230.3,"ITS3.ID128",1152616,7836,1742,1,0
2312,0,14,4542231.3,"ITS3.ID129",1395738,10255,6555,1,0
2313,0,14,4542232.3,"ITS3.ID131",4366829,29407,26776,1,0
2314,0,14,4542233.3,"ITS3.ID132",3723402,25047,23638,1,0
2315,0,14,4542234.3,"ITS3.ID133",7083147,49625,43172,1,0
2316,0,14,4542235.3,"ITS3.ID134",4544514,30671,27525,1,0
2317,0,14,4542236.3,"ITS3.ID135",2504421,17023,13238,1,0
2318,0,14,4542237.3,"ITS3.ID136",3775388,25498,23105,1,0
2319,0,14,4542238.3,"ITS3.ID138",1980157,13322,12634,1,0
2320,0,14,4542239.3,"ITS3.ID140",748992,5072,4531,1,0
2321,0,14,4542240.3,"ITS3.ID145",6191719,44070,38794,1,0
2322,0,14,4542241.3,"ITS3.ID162",53162,400,106,1,0
2323,0,14,4542242.3,"ITS3.ID170",7627226,53884,48338,1,0
2324,0,14,4542243.3,"ITS3.ID177",4252282,29648,18855,1,0
2325,0,14,4542244.3,"ITS3.ID191",1530546,10774,9550,1,0
2326,0,14,4542245.3,"ITS3.ID199",24406,173,141,1,0
2327,0,14,4542246.3,"ITS3.ID201",46923,333,155,1,0
2328,0,14,4542247.3,"ITS3.ID207",1232827,8691,4565,1,0
